Polsk,Norsk
nie,Nei
to,dette
się,meg selv
w,i
na,på
i,og
że,at
z,Med
co,Hva
jest,er
do,ned
tak,Ja
o,Om
jak,hvordan
ale,men
a,og
mnie,meg
mi,til meg
za,bak
ja,Jeg
tym,dette
tego,dette
go,ham
ci,disse
po,etter
tylko,bare
czy,hvis
tu,her
może,kan være
jestem,jeg er
ma,har
ty,du
cię,du
mam,jeg har
jesteś,du er
już,allerede
jeśli,hvis
dla,til
wiem,Jeg vet
coś,noe
dobrze,greit
więc,så
od,fra
teraz,nå
pan,MR
wszystko,alle
być,å være
będzie,vil være
masz,du har
nic,ingenting
tam,der borte
mogę,jeg kan
proszę,vær så snill
jej,henne
są,er
gdzie,hvor
kiedy,når
ten,dette
on,han
ciebie,du
by,så
sobie,seg selv
ze,med
był,var
wiesz,du vet
bardzo,veldig
było,var
przez,av
jego,hans
ją,Jeg
chcę,Jeg ønsker
dlaczego,Hvorfor
pani,du
jeszcze,fortsatt
mój,min
nas,oss
żeby,for å
no,Ja
bo,fordi
chcesz,du vil
ich,deres
też,også
tutaj,her
naprawdę,egentlig
nigdy,aldri
mamy,vi har
kto,WHO
możesz,du kan
dobra,Greit
przepraszam,unnskyld
mu,ham
gdy,når
muszę,jeg må
porządku,rekkefølge
dziękuję,Takk skal du ha
nawet,til og med
chyba,jeg regner med at
domu,hus
ona,hun
prawda,ekte
zrobić,å gjøre
była,var
właśnie,nøyaktig
będę,Jeg skal være
zawsze,alltid
hej,Hei
nim,ham
nam,OSS
te,disse
moja,min
musisz,du må
je,dem
dzięki,Takk
bez,uten
tej,dette
trochę,litt
ktoś,noen
panie,damer
jesteśmy,Vi er
moje,min
powiedzieć,å si
który,hvilken
czas,tid
więcej,mer
twój,din
musimy,vi må
lat,år
ta,dette
chce,ønsker
możemy,Vi kan
wszyscy,alle
tobą,du
albo,eller
prostu,bare
chodzi,det kommer
razem,sammen
stało,sto
cześć,Hei
mną,meg
czego,hva
sam,alene
myślę,jeg tror
pana,MR
przed,før
boże,Gud
raz,en gang
czemu,Hvorfor
będziesz,du vil
niż,enn
ludzie,mennesker
dalej,Neste
czym,hva
was,bart
dobry,flink
przy,av
ludzi,mennesker
dzień,dag
życie,liv
lepiej,bedre
miał,hadde
rzeczy,tingene
twoja,din
czasu,tid
ok,greit
temu,siden
robisz,du gjør
myślisz,tror du
kim,Hvem er
niech,la
które,hvilken
oczywiście,selvfølgelig
siebie,meg selv
niego,ham
cóż,vi vil
powiedział,han sa
u,på
daj,gi
moim,min
chodź,kom igjen
musi,må
my,vi
nikt,ingen
twoje,din
tych,disse
pod,under
dlatego,Som er grunnen til
pewnie,sikker
powiedz,si
aby,til
wtedy,deretter
wygląda,ser ut som
jeden,en
mojego,min
im,dem
mówi,sier
dziś,i dag
taki,slik
mieć,å ha
jako,som
dwa,to
potem,seinere
wie,vet
takie,slik
nią,henne
wszystkie,alle
znaczy,midler
rozumiem,jeg forstår
dzieje,historie
moją,min
będziemy,vi vil være
wiele,mange
stąd,Derfor
oni,de
mojej,min
miejsce,plass
iść,å gå
kilka,Noen
pomóc,hjelp
dużo,mye
ile,hvor mye
jasne,lys
byłem,jeg var
swoje,egen
myśli,tenker
cały,hel
skąd,fra hvor
wiedzieć,vet
dzieci,barn
nich,dem
która,hvilken
wam,du
przykro,unnskyld
można,du kan
jakieś,noen
tę,disse
wszystkich,alle
nad,ovenfor
jakiś,noen
sposób,vei
trzeba,Det er nødvendig å
mają,ha
niej,henne
pracy,arbeid
kogoś,noen
tyle,så mye
robić,gjøre
bardziej,mer
mówisz,du snakker
zanim,før
zbyt,også
szybko,rask
dzisiaj,i dag
tobie,du
takiego,slik
świetnie,Flott
zobaczyć,se
zaraz,om et øyeblikk
pewno,sikkert
miałem,jeg hadde
kocham,jeg elsker
mówię,jeg sier
nadal,fortsatt
jaki,hva
rację,Ikke sant
kochanie,Honning
myślałem,jeg tenkte
trzy,tre
ojciec,far
ani,eller
robi,gjør
stanie,stat
tą,dette
później,seinere
ponieważ,fordi
idź,gå
życia,liv
twoim,Din
przestań,Stoppe
sie,meg selv
swoją,hans
chciałem,jeg ville
długo,lang
mamo,mamma
kiedyś,en gang
cholera,kolera
wciąż,fortsatt
nadzieję,håp
aż,før
będą,vil være
jutro,i morgen
każdy,alle
dni,dager
problem,problem
widzę,jeg skjønner
mógł,kunne
stary,gammel
taka,slik
żebyś,som du
widzisz,du ser
twojej,din
tato,pappa
potrzebuję,trenge
znowu,en gang til
kurwa,hore
dziecko,gutt
nocy,natt
znaleźć,å finne
sama,alene
dokładnie,Nøyaktig
dnia,dag
oh,Åh
pierwszy,først
czuję,jeg føler
pieniądze,penger
powiem,jeg vil si
zrobił,han gjorde
nami,oss
miała,hun hadde
twoją,din
gdyby,hvis
nasz,våre
nasze,våre
razie,Med tiden i tid?
